ID,Prompt,Left Option,Right Option,Left Meta,Right Meta,Psychology Type,Timer (s),Age Tier,Version,Paid,Wildcard
683,Analytics dashboard:,Custom build,Standard tool,S,N,MBTI-SN,8,19+,v1,No,No
684,Client loss handle:,Review mistakes,Empathize move,T,F,MBTI-TF,8,19+,v1,No,No
685,Freelance schedule:,Fixed hours,Project based,J,P,MBTI-JP,8,19+,v1,No,No
686,Virtual meeting join:,Camera on,Text chat,I,S,DISC-IS,8,19+,v1,No,No
687,New industry cert:,Pursue advanced,Basic level,O+,O-,Big5-O,8,19+,v1,No,No
688,Office coffee run:,Buy for all,Self only,E+,E-,Big5-E,8,19+,v1,No,No
689,Quarterly report prep:,Data compile,Story craft,C+,C-,Big5-C,8,19+,v1,No,No
690,Community outreach:,Event host,Donate funds,A+,A-,Big5-A,8,19+,v1,No,No
691,Health insurance pick:,Low premium,Full coverage,N-,N+,Big5-N,8,19+,v1,No,No
692,Sales team motivate:,Targets set,Team building,D,C,DISC-DC,8,19+,v1,No,No
693,Resume skill list:,Technical hard,Soft interpersonal,C,D,DISC-CD,8,19+,v1,No,No
694,Favorite work music:,Upbeat pop,Calm instrumental,E,I,MBTI-EI,8,19+,v1,No,No
695,Dream office setup:,Standing desk,Cozy chair,S,N,MBTI-SN,8,19+,v1,No,No
696,Annual review prep:,Data highlight,Personal story,T,F,MBTI-TF,8,19+,v1,No,No
697,Side gig pursue:,Steady income,Passion project,J,P,MBTI-JP,8,19+,v1,No,No
698,Board presentation:,Confident solo,Team backup,D,S,DISC-DS,8,19+,v1,No,No
699,Email signature:,Professional title,Personal quote,I,S,DISC-IS,8,19+,v1,No,No
700,New work laptop:,High spec,Budget model,O+,O-,Big5-O,8,19+,v1,No,Yes
701,Promotion party celebrate:,Office toast,Private dinner,E+,E-,Big5-E,8,19+,v1,No,No
702,Rent payment method:,Auto transfer,Manual pay,C+,C-,Big5-C,8,19+,v1,No,No
703,Neighbor help move:,Lift boxes,Ask others,A+,A-,Big5-A,8,19+,v1,No,No
704,Job search stress:,Organized apply,Overwhelm quit,N-,N+,Big5-N,8,19+,v1,No,No
705,Marketing strategy:,Data driven,Creative campaign,D,S,DISC-DS,8,19+,v1,No,No
706,Quarterly goals set:,Measurable targets,Big vision,S,N,MBTI-SN,8,19+,v1,No,No
707,Team member praise:,Public shoutout,Private note,T,F,MBTI-TF,8,19+,v1,No,No
708,Daily exercise routine:,Gym schedule,Home workout,J,P,MBTI-JP,8,19+,v1,No,No
709,Conference networking:,Business cards,Deep chats,I,S,DISC-IS,8,19+,v1,No,No
710,New streaming service:,Binge series,Episode savor,O+,O-,Big5-O,8,19+,v1,No,No
711,Weekend social plan:,Party hop,Cozy night,E+,E-,Big5-E,8,19+,v1,No,No
712,Grocery budget track:,App list,Estimate spend,C+,C-,Big5-C,8,19+,v1,No,No
713,Family reunion attend:,Host event,Guest arrive,A+,A-,Big5-A,8,19+,v1,No,No
714,Doctor visit delay:,Ignore symptom,Worry consult,N-,N+,Big5-N,8,19+,v1,No,No
715,Product demo give:,Script follow,Improv engage,D,C,DISC-DC,8,19+,v1,No,No
716,LinkedIn endorse:,Skills list,Personal rec,C,D,DISC-CD,8,19+,v1,No,No
717,Favorite hobby time:,Group class,Solo practice,E,I,MBTI-EI,8,19+,v1,No,No
718,Dream home buy:,Urban condo,Suburb house,S,N,MBTI-SN,8,19+,v1,No,No
719,Spouse argument resolve:,Logic win,Emotional connect,T,F,MBTI-TF,8,19+,v1,No,No
720,Pet care routine:,Daily walks,As needed,J,P,MBTI-JP,8,19+,v1,No,No
721,Supervisor feedback seek:,Formal review,Casual chat,D,S,DISC-DS,8,19+,v1,No,No
722,Instagram feed:,Curated aesthetic,Real moments,I,S,DISC-IS,8,19+,v1,No,No
723,New phone upgrade:,Flagship latest,Budget smart,O+,O-,Big5-O,8,19+,v1,No,No
724,Alumni meetup:,Network connect,Reminisce old,E+,E-,Big5-E,8,19+,v1,No,No
725,Laundry day plan:,Sorted loads,Quick wash,C+,C-,Big5-C,8,19+,v1,No,No
726,Birthday gift friend:,Useful item,Fun surprise,A+,A-,Big5-A,8,19+,v1,No,No
727,Minor injury handle:,Bandage self,Doctor visit,N-,N+,Big5-N,8,19+,v1,No,No
728,Team goal set:,Ambitious stretch,Realistic achieve,D,S,DISC-DS,8,19+,v1,No,No
729,Excel data entry:,Formula automate,Manual input,S,N,MBTI-SN,8,19+,v1,No,No
730,Colleague birthday:,Office cake,Card sign,T,F,MBTI-TF,8,19+,v1,No,No
731,Commute time use:,Podcast learn,Daydream relax,J,P,MBTI-JP,8,19+,v1,No,No
732,Happy hour skip:,Work late,Join fun,I,S,DISC-IS,8,19+,v1,No,No
733,New wine try:,Exotic import,Familiar label,O+,O-,Big5-O,8,19+,v1,No,No
734,Golf outing work:,Compete score,Social swing,E+,E-,Big5-E,8,19+,v1,No,No
735,Utility bill pay:,Online auto,Check mail,C+,C-,Big5-C,8,19+,v1,No,No
736,Community board join:,Lead meetings,Vote only,A+,A-,Big5-A,8,19+,v1,No,No
737,Storm power out:,Generator prep,Candle worry,N-,N+,Big5-N,8,19+,v1,No,No
738,Client contract sign:,Review fine print,Trust handshake,D,C,DISC-DC,8,19+,v1,No,No
739,Job title change:,Negotiate raise,Accept as is,C,D,DISC-CD,8,19+,v1,No,No
740,Favorite weekend brunch:,Crowd spot,Home cook,E,I,MBTI-EI,8,19+,v1,No,No
741,Dream travel solo:,Backpack adventure,Guided tour,S,N,MBTI-SN,8,19+,v1,No,No
742,Friend advice ignore:,Confront why,Let go,T,F,MBTI-TF,8,19+,v1,No,No
743,Yoga class routine:,Weekly attend,When stressed,J,P,MBTI-JP,8,19+,v1,No,No
744,Investor meet prep:,Data deck,Personal pitch,D,S,DISC-DS,8,19+,v1,No,No
745,Facebook group manage:,Active mod,Passive member,I,S,DISC-IS,8,19+,v1,No,No
746,New smart home:,Voice control,Manual switch,O+,O-,Big5-O,8,19+,v1,No,No
747,High school reunion:,Organize it,Attend maybe,E+,E-,Big5-E,8,19+,v1,No,No
748,Cleaning schedule home:,Daily tidy,Weekly deep,C+,C-,Big5-C,8,19+,v1,No,No
749,Holiday card send:,To all contacts,Close family,A+,A-,Big5-A,8,19+,v1,No,No
750,Vet pet visit:,Routine check,Emergency only,N-,N+,Big5-N,8,19+,v1,No,No
751,Everyone follows company policy:,Comply fully,Question efficiency,CT0,CT1,Critical,8,19+,v1,No,No
752,Facing business dilemma:,Accept standard practice,Break to core principles,FP0,FP1,FirstPrinciples,8,19+,v1,No,No
753,Industry trend contradicts evidence:,Trust evidence,Follow trend,CT1,CT0,Critical,8,19+,v1,No,No
754,Solving operational bottleneck:,Rebuild process,Vary existing,FP1,FP0,FirstPrinciples,8,19+,v1,No,No
755,Team consensus wrong:,Agree group,Challenge basis,CT0,CT1,Critical,8,19+,v1,No,No
756,Strategy pivot needed:,From ground up,Incremental change,FP1,FP0,FirstPrinciples,8,19+,v1,No,No
757,Partner provides false data:,Correct public,Private note,CT1,CT0,Critical,8,19+,v1,No,No
758,New regulation impact:,Core reason analyze,Surface comply,FP0,FP1,FirstPrinciples,8,19+,v1,No,No
759,Financial report anomaly:,Ignore minor,Investigate root,CT0,CT1,Critical,8,19+,v1,No,No
760,Cost overrun project:,New budget,Trace cause,FP1,FP0,FirstPrinciples,8,19+,v1,No,No
761,Group plan inefficient:,Follow as is,Optimize better,CT1,CT0,Critical,8,19+,v1,No,No
762,Workflow inefficiency:,Disassemble tasks,Vary methods,FP0,FP1,FirstPrinciples,8,19+,v1,No,No
763,All adopt one tool:,Join adoption,Why chosen,CT0,CT1,Critical,8,19+,v1,No,No
764,System failure debug:,Rebuild module,Patch quick,FP1,FP0,FirstPrinciples,8,19+,v1,No,No
765,Solution overly simplistic:,Accept easy,Verify depth,CT1,CT0,Critical,8,19+,v1,No,No
766,Contract clause new:,From basics draft,Template copy,FP0,FP1,FirstPrinciples,8,19+,v1,No,No
767,Expert opinion given:,Believe authority,Seek evidence,CT0,CT1,Critical,8,19+,v1,No,No
768,Market entry fails:,New approach zero,Refine old,FP1,FP0,FirstPrinciples,8,19+,v1,No,No
769,Colleagues unanimous view:,Concur quick,Independent think,CT1,CT0,Critical,8,19+,v1,No,No
770,Resource gap in plan:,Create alternative,Allocate more,FP0,FP1,FirstPrinciples,8,19+,v1,No,No
771,Common practice myth:,Accept norm,Validate source,CT0,CT1,Critical,8,19+,v1,No,No
772,I adapt quickly to changes at work.,Strongly disagree,Strongly agree,O-,O+,Big5-O-Slider,8,19+,v1,No,No
773,I energize from team collaborations.,Strongly disagree,Strongly agree,E-,E+,Big5-E-Slider,8,19+,v1,No,No
774,I follow through on commitments reliably.,Strongly disagree,Strongly agree,C-,C+,Big5-C-Slider,8,19+,v1,No,No
775,I avoid conflicts whenever possible.,Strongly disagree,Strongly agree,A-,A+,Big5-A-Slider,8,19+,v1,No,No
776,I handle stress well in crises.,Strongly disagree,Strongly agree,N+,N-,Big5-N-Slider,8,19+,v1,No,No
777,I prefer independent work over groups.,Strongly disagree,Strongly agree,E,I,MBTI-EI-Slider,8,19+,v1,No,No
778,I rely on intuition more than facts.,Strongly disagree,Strongly agree,S,N,MBTI-SN-Slider,8,19+,v1,No,No
779,I value logic over people's feelings.,Strongly disagree,Strongly agree,F,T,MBTI-TF-Slider,8,19+,v1,No,No
780,I thrive in unstructured environments.,Strongly disagree,Strongly agree,J,P,MBTI-JP-Slider,8,19+,v1,No,No
781,I drive results in team settings.,Strongly disagree,Strongly agree,S,D,DISC-DS-Slider,8,19+,v1,No,No
782,I persuade others effectively often.,Strongly disagree,Strongly agree,D,I,DISC-IS-Slider,8,19+,v1,No,No
783,I ensure compliance with standards.,Strongly disagree,Strongly agree,I,C,DISC-CD-Slider,8,19+,v1,No,No
784,New stock tip:,Buy hype,Sell safe,O+,O-,Big5-O,8,19+,v1,No,No
785,After hours event:,Attend mingle,Skip recharge,E+,E-,Big5-E,8,19+,v1,No,No
786,File system computer:,Folders labeled,Desktop clutter,C+,C-,Big5-C,8,19+,v1,No,No
787,See ethical lapse:,Report up,Handle private,A-,A+,Big5-A,8,19+,v1,No,No
788,Career shift major:,Excited pivot,Stressed stability,N-,N+,Big5-N,8,19+,v1,No,No
789,Boardroom discussion:,Assert position,Listen weigh,D,S,DISC-DS,8,19+,v1,No,No
790,Favorite article type:,News facts,Opinion pieces,S,N,MBTI-SN,8,19+,v1,No,No
791,Policy unfair challenge:,Debate public,Private accept,T,F,MBTI-TF,8,19+,v1,No,No
792,Fiscal year plan:,Budget early,Adapt quarterly,J,P,MBTI-JP,8,19+,v1,No,No
793,Share promotion news:,Announce loud,Tell select,I,S,DISC-IS,8,19+,v1,No,No
794,New startup expo:,Exhibit booth,Visitor browse,O+,O-,Big5-O,8,19+,v1,No,No
795,Collaborative software:,Lead edits,Comment only,E+,E-,Big5-E,8,19+,v1,No,No
796,Invest dividend check:,Reinvest smart,Spend luxury,C+,C-,Big5-C,8,19+,v1,No,No
797,Console laid-off friend:,Job search help,Emotional support,A+,A-,Big5-A,8,19+,v1,No,No
798,Intense negotiation session:,Composed firm,Emotional high,N-,N+,Big5-N,8,19+,v1,No,No
799,Executive meeting style:,Agenda drive,Open forum,D,C,DISC-DC,8,19+,v1,No,No
800,Business attire daily:,Suit tie,Casual jeans,C,D,DISC-CD,8,19+,v1,No,Yes
